Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1997-09-30,2594.154608,773.4216761,970.4302341,1200.998367,4934.586416,1634.779981,3021.444837,354.6511119,731.5015263,2893.77511,1469.627445,2624.220309,7934.2431,419.9347511,593.3754956
1997-10-31,2495.057902,741.8660718,934.4272724,1240.991612,4398.690331,1607.479155,2863.121127,320.0016982,724.2596612,2721.884869,1303.853469,2512.166102,7462.155635,359.8000947,546.2021437
1997-11-30,2440.166629,734.8925307,986.1011006,1368.317352,4427.721687,1712.929788,3208.413535,327.3937375,752.7230659,2799.458587,1383.12776,2591.299334,8006.146781,322.0930448,554.2859354
1997-12-31,2557.05061,739.4488644,1015.486913,1430.712623,4218.290451,1701.110572,3205.525963,348.1505004,799.5424406,2620.85313,1356.018456,2587.153255,8342.404946,305.6662995,504.566487
1998-01-31,2578.018425,740.5580377,1023.610809,1499.959114,4432.157777,1730.709896,3358.750104,336.5919038,794.2654605,2673.270192,1368.222622,2522.474423,8173.054126,302.7624697,506.6352096
1998-02-28,2896.661502,771.2171404,1116.759392,1539.258043,4862.520298,1921.434127,3408.123731,361.3650679,844.3836111,2831.527788,1534.051204,2726.794852,8556.370364,309.0296528,565.506221
1998-03-31,3075.675183,828.2100871,1164.109991,1690.259256,4758.462363,2059.393097,3738.030108,379.6862769,889.3048192,2904.014899,1533.744393,2878.950004,9621.638474,340.6433863,589.596786
1998-04-30,3124.885986,840.2191334,1176.449556,1639.044401,5115.822887,2056.304007,3695.042762,397.8352809,903.7115572,2972.259249,1547.548093,2958.984815,9325.292009,353.1790629,605.5748589
1998-05-31,3427.687438,817.9533263,1162.214517,1612.000168,4756.69212,2136.499864,3603.036197,384.2293143,896.7529783,2831.968612,1501.276405,2992.125445,9593.860419,310.1265351,600.851375
1998-06-30,3508.238093,759.3878682,1204.86779,1663.745374,4975.975627,2276.654255,3838.31446,394.2961223,950.2891311,2634.863597,1465.996409,2891.290817,10237.60845,292.7284365,613.7696795
1998-07-31,3471.752417,686.2588165,1162.93839,1727.466822,5158.096335,2219.054902,3758.861351,382.3883794,924.5362956,2459.118195,1387.565602,2631.942031,9777.939834,273.3205412,551.2879262
1998-08-31,2780.179335,584.3493822,1035.945518,1524.662217,4260.587572,1925.473939,3337.492994,312.7936944,828.3845209,2086.315877,1117.267822,2319.530512,7845.818923,219.1210779,429.1776505
1998-09-30,2850.239855,552.5023409,983.0087023,1677.433371,4823.837249,1916.616758,3335.824247,337.7859106,825.6508519,2190.631671,1183.298351,2335.303319,7451.958813,297.1500937,440.0358451
1998-10-31,3189.703421,569.1879116,1165.258516,1791.834327,5319.727719,2152.552281,3672.742496,363.6265327,886.5013197,2401.370437,1351.918366,2374.536415,8626.387522,300.8941849,470.222304
1998-11-30,3343.128156,624.4560578,1177.959833,1857.594647,5865.531783,2392.13135,3818.183099,361.3720482,960.6128301,2554.818008,1475.88928,2480.678193,9125.855359,299.3596245,486.0217735
1998-12-31,3483.873851,659.3631514,1241.569664,2123.6022,6692.571764,2638.999306,4276.365071,357.7221905,1051.390743,2550.985781,1395.158136,2367.063131,9097.565208,294.2405749,504.4906008
1999-01-31,3740.983742,608.9218703,1215.620858,2310.266833,7577.329751,2734.003281,4387.550563,335.2930092,1041.087113,2481.598968,1397.390389,2243.739142,8947.455382,286.0312629,539.6535957
1999-02-28,3560.294227,557.7724332,1200.182474,2242.807042,6648.349124,2705.296246,4188.355767,338.0424119,1039.421374,2440.652585,1447.696443,2268.869021,8827.55948,282.427269,550.1768408
1999-03-31,3511.518196,521.2941161,1259.591506,2228.004515,6989.409434,2806.744855,4574.522169,330.7745,1069.87642,2477.99457,1511.684626,2348.05255,8681.904748,282.3142981,558.3744758
1999-04-30,3880.92991,568.7318807,1312.872227,2413.597291,7438.129519,2797.201923,4442.318478,388.3623405,1131.929252,2976.319277,1730.274223,2865.798137,9118.604557,339.454712,606.3946807
1999-05-31,3647.29793,582.3245726,1273.354773,2438.457344,7462.675347,2701.257897,4328.595125,388.0128144,1115.403085,2859.945194,1696.533876,2699.295265,9061.157348,304.5927131,590.9316163
1999-06-30,3600.977246,603.1135599,1290.290391,2581.107098,8441.032085,2942.480227,4784.829051,400.7396347,1160.35383,2962.045237,1813.255406,2767.047576,8670.621467,330.1480417,600.327429
1999-07-31,3340.986689,580.3761787,1276.613313,2539.551274,8641.084545,2759.752205,4646.069009,329.5682755,1155.480344,2972.116191,1813.436732,2766.770871,8693.165082,301.5242065,540.9550463
1999-08-31,3482.978623,530.9281282,1310.060582,2347.307242,9326.32255,2586.715742,4753.85781,302.6425474,1046.402999,2857.392506,1771.183656,2606.851515,8358.478227,303.4539614,480.8008451
1999-09-30,3247.877566,458.7749956,1182.198669,2451.762415,9080.107634,2659.919797,4979.666056,282.2141755,1060.320159,2752.240462,1662.964334,2464.778107,7109.72158,321.4791267,503.3984849
1999-10-31,3337.843775,470.565513,1318.506176,2685.415373,9389.739305,2826.962761,5599.136513,258.5081847,1167.942655,2879.393971,1663.463224,2519.989137,8276.426891,308.3306305,504.6569811
